"","Year","Rider","TripDuration"
"1","2020","Casual",5746.95864273927
"2","2020","Member",760.626751090757
"3","2020","Casual",4384.27116133401
"4","2020","Member",1288.05002616602
"5","2020","Casual",3070.7452047544
"6","2020","Member",1185.21040885635
"7","2020","Casual",3096.62966817048
"8","2020","Member",1122.07301619336
"9","2020","Casual",3588.70613377102
"10","2020","Member",1061.36517307856
"11","2020","Casual",2686.32782114265
"12","2020","Member",1004.61140967839
"13","2020","Casual",2286.96962616822
"14","2020","Member",927.653057240973
"15","2020","Casual",1808.88625768902
"16","2020","Member",836.640122146929
"17","2020","Casual",1904.52462570517
"18","2020","Member",811.819866330259
"19","2020","Casual",-2893.37892287234
"20","2020","Member",-4292.03512557516
"21","2021","Casual",1541.07539879671
"22","2021","Member",772.316183289505
"23","2021","Casual",2962.39374198006
"24","2021","Member",1081.32508672862
"25","2021","Casual",2289.52388942439
"26","2021","Member",838.197316960052
"27","2021","Casual",2281.37938960915
"28","2021","Member",881.329897472449
"29","2021","Casual",2293.85797303399
"30","2021","Member",878.334551556693
"31","2021","Casual",2227.28589541951
"32","2021","Member",880.667151462467
"33","2021","Casual",1967.41032131676
"34","2021","Member",854.359094422564
"35","2021","Casual",1727.18217417749
"36","2021","Member",846.048748854297
"37","2021","Casual",1668.89941740636
"38","2021","Member",824.06739714014
"39","2021","Casual",1720.43815162376
"40","2021","Member",750.124125631043
"41","2021","Casual",1386.81763600146
"42","2021","Member",678.283782982742
"43","2021","Casual",1409.6574464424
"44","2021","Member",660.29634649779
"45","2022","Casual",1822.64730021598
"46","2022","Member",718.890592375367
"47","2022","Casual",1602.50705080314
"48","2022","Member",684.331765630142
"49","2022","Casual",1957.34342805011
"50","2022","Member",717.499732179646
"51","2022","Casual",1771.94562440178
"52","2022","Member",689.544246667102
"53","2022","Casual",1852.17670238753
"54","2022","Member",802.0006122282
"55","2022","Casual",1925.81851288846
"56","2022","Member",839.906033442208
"57","2022","Casual",1756.68526923693
"58","2022","Member",823.1004089279
"59","2022","Casual",1758.60289922101
"60","2022","Member",803.049809371253
"61","2022","Casual",1679.11013255948
"62","2022","Member",777.008397546473
"63","2022","Casual",1583.24561101302
"64","2022","Member",717.490280129026
"65","2022","Casual",1277.17411582582
"66","2022","Member",667.717314517456
"67","2022","Casual",1337.37385842206
"68","2022","Member",637.169269311675
"69","2023","Casual",1374.89039692062
"70","2023","Member",621.705854564085
"71","2023","Casual",1391.55098103031
"72","2023","Member",642.856222317183
