"","Hour","Rider","Trips"
"284","21","Member",8350
"285","22","Casual",9121
"286","22","Member",5925
"287","23","Casual",7294
"288","23","Member",3901
"289","0","Casual",3708
"290","0","Member",1903
"291","1","Casual",2112
"292","1","Member",962
"293","2","Casual",1130
"294","2","Member",517
"295","3","Casual",629
"296","3","Member",303
"297","4","Casual",494
"298","4","Member",479
"299","5","Casual",794
"300","5","Member",2319
"301","6","Casual",1970
"302","6","Member",8118
"303","7","Casual",3742
"304","7","Member",14440
"305","8","Casual",5160
"306","8","Member",15379
"307","9","Casual",6460
"308","9","Member",12357
"309","10","Casual",9229
"310","10","Member",13152
"311","11","Casual",13112
"312","11","Member",16638
"313","12","Casual",15201
"314","12","Member",18868
"315","13","Casual",16270
"316","13","Member",17996
"317","14","Casual",16991
"318","14","Member",17837
"319","15","Casual",19135
"320","15","Member",21013
"321","16","Casual",20794
"322","16","Member",26289
"323","17","Casual",24187
"324","17","Member",33959
"325","18","Casual",22401
"326","18","Member",30356
"327","19","Casual",14912
"328","19","Member",19858
"329","20","Casual",9650
"330","20","Member",11359
"331","21","Casual",7873
"332","21","Member",7761
"333","22","Casual",8018
"334","22","Member",6175
"335","23","Casual",6720
"336","23","Member",4228
"337","0","Casual",2097
"338","0","Member",1679
"339","1","Casual",1428
"340","1","Member",1030
"341","2","Casual",677
"342","2","Member",497
"343","3","Casual",412
"344","3","Member",286
"345","4","Casual",316
"346","4","Member",399
"347","5","Casual",524
"348","5","Member",1952
"349","6","Casual",1403
"350","6","Member",6500
"351","7","Casual",2774
"352","7","Member",12137
"353","8","Casual",3888
"354","8","Member",13506
"355","9","Casual",4771
"356","9","Member",10883
"357","10","Casual",6813
"358","10","Member",10849
"359","11","Casual",8930
"360","11","Member",13486
"361","12","Casual",10592
"362","12","Member",15432
"363","13","Casual",10952
"364","13","Member",15020
"365","14","Casual",11768
"366","14","Member",15373
"367","15","Casual",12597
"368","15","Member",17074
"369","16","Casual",13648
"370","16","Member",21963
"371","17","Casual",15550
"372","17","Member",27832
"373","18","Casual",12270
"374","18","Member",23020
"375","19","Casual",7266
"376","19","Member",13661
"377","20","Casual",4992
"378","20","Member",8294
"379","21","Casual",4098
"380","21","Member",5679
"381","22","Casual",4097
"382","22","Member",4237
"383","23","Casual",3149
"384","23","Member",2852
"385","0","Casual",1007
"386","0","Member",1018
"387","1","Casual",717
"388","1","Member",622
"389","2","Casual",344
"390","2","Member",353
"391","3","Casual",213
"392","3","Member",215
"393","4","Casual",242
"394","4","Member",352
"395","5","Casual",371
"396","5","Member",1454
"397","6","Casual",998
"398","6","Member",4724
"399","7","Casual",1743
"400","7","Member",8284
"401","8","Casual",2325
"402","8","Member",9005
"403","9","Casual",2931
"404","9","Member",7807
"405","10","Casual",4263
"406","10","Member",8155
"407","11","Casual",5698
"408","11","Member",10765
"409","12","Casual",7279
"410","12","Member",12531
"411","13","Casual",8178
"412","13","Member",12918
"413","14","Casual",8840
"414","14","Member",13008
"415","15","Casual",9698
"416","15","Member",14580
"417","16","Casual",8906
"418","16","Member",16711
"419","17","Casual",6865
"420","17","Member",16377
"421","18","Casual",5154
"422","18","Member",12164
"423","19","Casual",3723
"424","19","Member",8070
"425","20","Casual",2827
"426","20","Member",5195
"427","21","Casual",2129
"428","21","Member",3323
"429","22","Casual",2115
"430","22","Member",2416
"431","23","Casual",1533
"432","23","Member",1570
"433","0","Casual",366
"434","0","Member",529
"435","1","Casual",222
"436","1","Member",287
"437","2","Casual",123
"438","2","Member",188
"439","3","Casual",91
"440","3","Member",123
"441","4","Casual",123
"442","4","Member",237
"443","5","Casual",192
"444","5","Member",1008
"445","6","Casual",403
"446","6","Member",3031
"447","7","Casual",669
"448","7","Member",5154
"449","8","Casual",895
"450","8","Member",5513
"451","9","Casual",1063
"452","9","Member",4740
"453","10","Casual",1471
"454","10","Member",4960
"455","11","Casual",2120
"456","11","Member",6624
"457","12","Casual",2668
"458","12","Member",7625
"459","13","Casual",2760
"460","13","Member",7723
"461","14","Casual",3129
"462","14","Member",7962
"463","15","Casual",2963
"464","15","Member",8695
"465","16","Casual",2715
"466","16","Member",9193
"467","17","Casual",2261
"468","17","Member",8973
"469","18","Casual",1848
"470","18","Member",7076
"471","19","Casual",1245
"472","19","Member",4742
"473","20","Casual",913
"474","20","Member",3031
"475","21","Casual",760
"476","21","Member",1871
"477","22","Casual",620
"478","22","Member",1298
"479","23","Casual",460
"480","23","Member",910
"481","0","Casual",281
"482","0","Member",453
"483","1","Casual",185
"484","1","Member",256
"485","2","Casual",136
"486","2","Member",204
"487","3","Casual",79
"488","3","Member",116
"489","4","Casual",103
"490","4","Member",163
"491","5","Casual",127
"492","5","Member",857
"493","6","Casual",231
"494","6","Member",2568
"495","7","Casual",417
"496","7","Member",4195
"497","8","Casual",571
"498","8","Member",4575
"499","9","Casual",672
"500","9","Member",3479
"501","10","Casual",884
"502","10","Member",3783
"503","11","Casual",1153
"504","11","Member",4745
"505","12","Casual",1413
"506","12","Member",5498
"507","13","Casual",1564
"508","13","Member",5745
"509","14","Casual",1564
"510","14","Member",5706
"511","15","Casual",1670
"512","15","Member",6244
"513","16","Casual",1640
"514","16","Member",6867
"515","17","Casual",1492
"516","17","Member",7359
"517","18","Casual",1172
"518","18","Member",6059
"519","19","Casual",868
"520","19","Member",4044
"521","20","Casual",599
"522","20","Member",2419
"523","21","Casual",472
"524","21","Member",1474
"525","22","Casual",492
"526","22","Member",1104
"527","23","Casual",332
"528","23","Member",804
"529","0","Casual",139
"530","0","Member",214
"531","1","Casual",90
"532","1","Member",113
"533","2","Casual",38
"534","2","Member",62
"535","3","Casual",41
"536","3","Member",60
"537","4","Casual",35
"538","4","Member",93
"539","5","Casual",56
"540","5","Member",571
"541","6","Casual",79
