"","Hour","Rider","Trips"
"1216","7","Member",13642
"1217","8","Casual",3834
"1218","8","Member",16291
"1219","9","Casual",4002
"1220","9","Member",11232
"1221","10","Casual",5274
"1222","10","Member",10539
"1223","11","Casual",7343
"1224","11","Member",12773
"1225","12","Casual",8396
"1226","12","Member",14578
"1227","13","Casual",9034
"1228","13","Member",14691
"1229","14","Casual",9635
"1230","14","Member",14160
"1231","15","Casual",10204
"1232","15","Member",15982
"1233","16","Casual",11108
"1234","16","Member",20504
"1235","17","Casual",11912
"1236","17","Member",24897
"1237","18","Casual",10687
"1238","18","Member",20568
"1239","19","Casual",7732
"1240","19","Member",14442
"1241","20","Casual",5038
"1242","20","Member",9360
"1243","21","Casual",4514
"1244","21","Member",7441
"1245","22","Casual",4304
"1246","22","Member",5563
"1247","23","Casual",3315
"1248","23","Member",3946
"1249","0","Casual",5547
"1250","0","Member",3970
"1251","1","Casual",3195
"1252","1","Member",2309
"1253","2","Casual",2145
"1254","2","Member",1347
"1255","3","Casual",1237
"1256","3","Member",863
"1257","4","Casual",812
"1258","4","Member",938
"1259","5","Casual",1187
"1260","5","Member",3342
"1261","6","Casual",2679
"1262","6","Member",8857
"1263","7","Casual",5161
"1264","7","Member",17044
"1265","8","Casual",7263
"1266","8","Member",19685
"1267","9","Casual",8258
"1268","9","Member",14750
"1269","10","Casual",11366
"1270","10","Member",14700
"1271","11","Casual",15101
"1272","11","Member",17648
"1273","12","Casual",18011
"1274","12","Member",20271
"1275","13","Casual",18941
"1276","13","Member",20179
"1277","14","Casual",19404
"1278","14","Member",19576
"1279","15","Casual",21560
"1280","15","Member",22889
"1281","16","Casual",24332
"1282","16","Member",30920
"1283","17","Casual",27770
"1284","17","Member",37480
"1285","18","Casual",24488
"1286","18","Member",31136
"1287","19","Casual",19155
"1288","19","Member",23169
"1289","20","Casual",13830
"1290","20","Member",15834
"1291","21","Casual",11353
"1292","21","Member",12238
"1293","22","Casual",10108
"1294","22","Member",9219
"1295","23","Casual",7512
"1296","23","Member",6079
"1297","0","Casual",7617
"1298","0","Member",4649
"1299","1","Casual",4568
"1300","1","Member",2592
"1301","2","Casual",2673
"1302","2","Member",1529
"1303","3","Casual",1451
"1304","3","Member",893
"1305","4","Casual",1165
"1306","4","Member",1073
"1307","5","Casual",1918
"1308","5","Member",4097
"1309","6","Casual",4204
"1310","6","Member",11004
"1311","7","Casual",7432
"1312","7","Member",20210
"1313","8","Casual",9799
"1314","8","Member",22590
"1315","9","Casual",10402
"1316","9","Member",15967
"1317","10","Casual",13658
"1318","10","Member",14922
"1319","11","Casual",17911
"1320","11","Member",18208
"1321","12","Casual",21163
"1322","12","Member",20984
"1323","13","Casual",21757
"1324","13","Member",20101
"1325","14","Casual",23646
"1326","14","Member",20413
"1327","15","Casual",26948
"1328","15","Member",24859
"1329","16","Casual",31276
"1330","16","Member",34392
"1331","17","Casual",36074
"1332","17","Member",42628
"1333","18","Casual",33275
"1334","18","Member",35973
"1335","19","Casual",27186
"1336","19","Member",27127
"1337","20","Casual",21571
"1338","20","Member",20773
"1339","21","Casual",16954
"1340","21","Member",15383
"1341","22","Casual",15273
"1342","22","Member",12098
"1343","23","Casual",11130
"1344","23","Member",7688
"1345","0","Casual",8792
"1346","0","Member",5321
"1347","1","Casual",5819
"1348","1","Member",3241
"1349","2","Casual",3608
"1350","2","Member",1870
"1351","3","Casual",2142
"1352","3","Member",1101
"1353","4","Casual",1366
"1354","4","Member",1156
"1355","5","Casual",1877
"1356","5","Member",3838
"1357","6","Casual",4329
"1358","6","Member",10690
"1359","7","Casual",7142
"1360","7","Member",18820
"1361","8","Casual",10122
"1362","8","Member",22075
"1363","9","Casual",11681
"1364","9","Member",17138
"1365","10","Casual",15598
"1366","10","Member",16662
"1367","11","Casual",20510
"1368","11","Member",19893
"1369","12","Casual",24954
"1370","12","Member",22773
"1371","13","Casual",26883
"1372","13","Member",23005
"1373","14","Casual",28102
"1374","14","Member",22860
"1375","15","Casual",29717
"1376","15","Member",25868
"1377","16","Casual",32780
"1378","16","Member",34496
"1379","17","Casual",36201
"1380","17","Member",42347
"1381","18","Casual",34079
"1382","18","Member",36411
"1383","19","Casual",28435
"1384","19","Member",27913
"1385","20","Casual",22987
"1386","20","Member",21626
"1387","21","Casual",19412
"1388","21","Member",16898
"1389","22","Casual",16994
"1390","22","Member",12941
"1391","23","Casual",12525
"1392","23","Member",8490
"1393","0","Casual",7580
"1394","0","Member",4811
"1395","1","Casual",4707
"1396","1","Member",2925
"1397","2","Casual",2942
"1398","2","Member",1610
"1399","3","Casual",1814
"1400","3","Member",980
"1401","4","Casual",1227
"1402","4","Member",1124
"1403","5","Casual",2128
"1404","5","Member",3940
"1405","6","Casual",5239
"1406","6","Member",12410
"1407","7","Casual",8153
"1408","7","Member",21980
"1409","8","Casual",10802
"1410","8","Member",25116
"1411","9","Casual",11215
"1412","9","Member",17463
"1413","10","Casual",14380
"1414","10","Member",16882
"1415","11","Casual",18117
"1416","11","Member",19555
"1417","12","Casual",21126
"1418","12","Member",22037
"1419","13","Casual",21080
"1420","13","Member",21394
"1421","14","Casual",22478
"1422","14","Member",21585
"1423","15","Casual",25284
"1424","15","Member",26377
"1425","16","Casual",28834
"1426","16","Member",36150
"1427","17","Casual",34478
"1428","17","Member",45965
"1429","18","Casual",32455
"1430","18","Member",38693
"1431","19","Casual",25912
"1432","19","Member",29748
"1433","20","Casual",18770
"1434","20","Member",20799
"1435","21","Casual",16189
"1436","21","Member",15946
"1437","22","Casual",13831
"1438","22","Member",12003
"1439","23","Casual",10183
"1440","23","Member",7515
"1441","0","Casual",6292
"1442","0","Member",4693
"1443","1","Casual",4114
"1444","1","Member",2912
"1445","2","Casual",2610
"1446","2","Member",1815
"1447","3","Casual",1515
"1448","3","Member",1110
"1449","4","Casual",977
"1450","4","Member",1032
"1451","5","Casual",1687
"1452","5","Member",3588
"1453","6","Casual",4505
"1454","6","Member",10811
"1455","7","Casual",7578
"1456","7","Member",20477
"1457","8","Casual",9851
"1458","8","Member",24519
"1459","9","Casual",9494
"1460","9","Member",17318
"1461","10","Casual",11409
"1462","10","Member",16116
"1463","11","Casual",15044
"1464","11","Member",18734
"1465","12","Casual",17930
"1466","12","Member",22197
"1467","13","Casual",18523
"1468","13","Member",22298
"1469","14","Casual",19757
"1470","14","Member",22125
"1471","15","Casual",22692
"1472","15","Member",26443
"1473","16","Casual",25165
"1474","16","Member",35321
"1475","17","Casual",28168
"1476","17","Member",42519
"1477","18","Casual",25981
"1478","18","Member",35693
"1479","19","Casual",18618
"1480","19","Member",25372
"1481","20","Casual",12637
"1482","20","Member",17018
"1483","21","Casual",11984
"1484","21","Member",13909
"1485","22","Casual",11428
"1486","22","Member",11317
"1487","23","Casual",8738
"1488","23","Member",7305
"1489","0","Casual",4050
"1490","0","Member",3938
"1491","1","Casual",2968
"1492","1","Member",2601
"1493","2","Casual",1762
"1494","2","Member",1539
"1495","3","Casual",1071
"1496","3","Member",950
"1497","4","Casual",654
"1498","4","Member",906
"1499","5","Casual",1168
"1500","5","Member",2939
"1501","6","Casual",2814
"1502","6","Member",8555
"1503","7","Casual",5117
"1504","7","Member",16430
"1505","8","Casual",7364
"1506","8","Member",21455
"1507","9","Casual",7730
"1508","9","Member",15810
"1509","10","Casual",9927
"1510","10","Member",15091
"1511","11","Casual",12579
"1512","11","Member",18361
"1513","12","Casual",14694
"1514","12","Member",21006
"1515","13","Casual",15345
"1516","13","Member",21461
"1517","14","Casual",15952
"1518","14","Member",20733
"1519","15","Casual",17443
"1520","15","Member",25195
"1521","16","Casual",18335
"1522","16","Member",30876
"1523","17","Casual",19287
"1524","17","Member",35716
"1525","18","Casual",15745
"1526","18","Member",28406
"1527","19","Casual",10092
"1528","19","Member",19109
"1529","20","Casual",7161
"1530","20","Member",13505
"1531","21","Casual",6535
"1532","21","Member",10951
"1533","22","Casual",6366
"1534","22","Member",8510
"1535","23","Casual",4830
"1536","23","Member",5653
"1537","0","Casual",1773
"1538","0","Member",2338
"1539","1","Casual",1368
"1540","1","Member",1502
"1541","2","Casual",702
"1542","2","Member",793
"1543","3","Casual",426
"1544","3","Member",536
"1545","4","Casual",341
"1546","4","Member",629
"1547","5","Casual",669
"1548","5","Member",2261
"1549","6","Casual",1852
"1550","6","Member",7182
"1551","7","Casual",3275
"1552","7","Member",13370
"1553","8","Casual",4297
"1554","8","Member",16591
"1555","9","Casual",3824
"1556","9","Member",11082
"1557","10","Casual",4551
"1558","10","Member",9865
"1559","11","Casual",5425
"1560","11","Member",11583
"1561","12","Casual",6313
"1562","12","Member",13299
"1563","13","Casual",6300
"1564","13","Member",13117
"1565","14","Casual",7154
"1566","14","Member",13350
"1567","15","Casual",8803
"1568","15","Member",17405
"1569","16","Casual",9374
"1570","16","Member",22168
"1571","17","Casual",9249
"1572","17","Member",24725
"1573","18","Casual",7301
"1574","18","Member",18064
"1575","19","Casual",5001
"1576","19","Member",12583
"1577","20","Casual",3759
"1578","20","Member",8368
"1579","21","Casual",3496
"1580","21","Member",7231
"1581","22","Casual",3134
"1582","22","Member",5362
"1583","23","Casual",2385
"1584","23","Member",3559
"1585","0","Casual",910
"1586","0","Member",1501
"1587","1","Casual",664
"1588","1","Member",981
"1589","2","Casual",412
"1590","2","Member",587
"1591","3","Casual",286
"1592","3","Member",374
"1593","4","Casual",241
"1594","4","Member",456
"1595","5","Casual",396
"1596","5","Member",1432
"1597","6","Casual",954
"1598","6","Member",4379
"1599","7","Casual",1641
"1600","7","Member",8293
"1601","8","Casual",2182
"1602","8","Member",10161
"1603","9","Casual",1639
"1604","9","Member",6432
"1605","10","Casual",1798
"1606","10","Member",5700
"1607","11","Casual",2479
"1608","11","Member",7115
"1609","12","Casual",2824
"1610","12","Member",7992
"1611","13","Casual",2823
"1612","13","Member",7725
"1613","14","Casual",3017
"1614","14","Member",7960
"1615","15","Casual",3821
"1616","15","Member",9989
"1617","16","Casual",3926
"1618","16","Member",12173
"1619","17","Casual",3792
"1620","17","Member",13290
"1621","18","Casual",3045
"1622","18","Member",9915
"1623","19","Casual",2369
"1624","19","Member",7016
"1625","20","Casual",1613
"1626","20","Member",4732
"1627","21","Casual",1415
"1628","21","Member",3744
"1629","22","Casual",1438
"1630","22","Member",2905
"1631","23","Casual",1209
"1632","23","Member",2060
"1633","0","Casual",726
"1634","0","Member",1335
"1635","1","Casual",580
"1636","1","Member",838
"1637","2","Casual",433
"1638","2","Member",605
"1639","3","Casual",179
"1640","3","Member",292
"1641","4","Casual",207
"1642","4","Member",382
"1643","5","Casual",357
"1644","5","Member",1672
"1645","6","Casual",938
"1646","6","Member",4948
"1647","7","Casual",1583
"1648","7","Member",9005
"1649","8","Casual",1875
"1650","8","Member",11645
"1651","9","Casual",1585
"1652","9","Member",7485
"1653","10","Casual",1658
"1654","10","Member",6394
"1655","11","Casual",2131
"1656","11","Member",7393
"1657","12","Casual",2333
"1658","12","Member",8617
"1659","13","Casual",2533
"1660","13","Member",8478
"1661","14","Casual",2801
"1662","14","Member",8265
"1663","15","Casual",3131
"1664","15","Member",10469
"1665","16","Casual",3715
"1666","16","Member",13765
"1667","17","Casual",3495
"1668","17","Member",15845
"1669","18","Casual",2778
"1670","18","Member",11338
"1671","19","Casual",2106
"1672","19","Member",7601
"1673","20","Casual",1569
"1674","20","Member",5153
"1675","21","Casual",1336
"1676","21","Member",4078
"1677","22","Casual",1144
"1678","22","Member",2780
"1679","23","Casual",815
"1680","23","Member",1910
"1681","0","Casual",523
"1682","0","Member",1072
"1683","1","Casual",309
"1684","1","Member",629
"1685","2","Casual",230
"1686","2","Member",414
"1687","3","Casual",150
"1688","3","Member",213
"1689","4","Casual",127
"1690","4","Member",356
"1691","5","Casual",351
"1692","5","Member",1531
"1693","6","Casual",805
"1694","6","Member",4463
"1695","7","Casual",1380
"1696","7","Member",8373
"1697","8","Casual",1719
"1698","8","Member",10378
"1699","9","Casual",1522
"1700","9","Member",6835
"1701","10","Casual",1766
"1702","10","Member",6322
"1703","11","Casual",2278
"1704","11","Member",7434
"1705","12","Casual",2886
"1706","12","Member",8647
"1707","13","Casual",3289
"1708","13","Member",8848
"1709","14","Casual",3727
"1710","14","Member",8941
"1711","15","Casual",3972
"1712","15","Member",11190
"1713","16","Casual",4468
"1714","16","Member",14315
"1715","17","Casual",4140
"1716","17","Member",16051
"1717","18","Casual",2868
"1718","18","Member",10907
"1719","19","Casual",1993
"1720","19","Member",7198
"1721","20","Casual",1386
"1722","20","Member",4941
"1723","21","Casual",1339
"1724","21","Member",3958
"1725","22","Casual",1008
"1726","22","Member",2622
"1727","23","Casual",780
"1728","23","Member",1791
