"","Year","Month","DayOfWeek","Bike","Trips"
"134","2021","Jan","Sun","Electric",4040
"135","2021","Jan","Mon","Classic",8565
"136","2021","Jan","Mon","Docked",201
"137","2021","Jan","Mon","Electric",4457
"138","2021","Jan","Tue","Classic",8151
"139","2021","Jan","Tue","Docked",197
"140","2021","Jan","Tue","Electric",4103
"141","2021","Jan","Wed","Classic",8612
"142","2021","Jan","Wed","Docked",233
"143","2021","Jan","Wed","Electric",4457
"144","2021","Jan","Thu","Classic",9231
"145","2021","Jan","Thu","Docked",236
"146","2021","Jan","Thu","Electric",4849
"147","2021","Jan","Fri","Classic",9608
"148","2021","Jan","Fri","Docked",318
"149","2021","Jan","Fri","Electric",5557
"150","2021","Jan","Sat","Classic",10189
"151","2021","Jan","Sat","Docked",569
"152","2021","Jan","Sat","Electric",5565
"153","2021","Feb","Sun","Classic",3871
"154","2021","Feb","Sun","Docked",202
"155","2021","Feb","Sun","Electric",1311
"156","2021","Feb","Mon","Classic",3414
"157","2021","Feb","Mon","Docked",32
"158","2021","Feb","Mon","Electric",1144
"159","2021","Feb","Tue","Classic",4910
"160","2021","Feb","Tue","Docked",85
"161","2021","Feb","Tue","Electric",1740
"162","2021","Feb","Wed","Classic",5510
"163","2021","Feb","Wed","Docked",93
"164","2021","Feb","Wed","Electric",2133
"165","2021","Feb","Thu","Classic",4908
"166","2021","Feb","Thu","Docked",75
"167","2021","Feb","Thu","Electric",2090
"168","2021","Feb","Fri","Classic",5572
"169","2021","Feb","Fri","Docked",177
"170","2021","Feb","Fri","Electric",2341
"171","2021","Feb","Sat","Classic",6827
"172","2021","Feb","Sat","Docked",607
"173","2021","Feb","Sat","Electric",2580
"174","2021","Mar","Sun","Classic",23647
"175","2021","Mar","Sun","Docked",3693
"176","2021","Mar","Sun","Electric",8287
"177","2021","Mar","Mon","Classic",23534
"178","2021","Mar","Mon","Docked",2369
"179","2021","Mar","Mon","Electric",8922
"180","2021","Mar","Tue","Classic",22867
"181","2021","Mar","Tue","Docked",1836
"182","2021","Mar","Tue","Electric",9297
"183","2021","Mar","Wed","Classic",21056
"184","2021","Mar","Wed","Docked",1303
"185","2021","Mar","Wed","Electric",9310
"186","2021","Mar","Thu","Classic",14674
"187","2021","Mar","Thu","Docked",733
"188","2021","Mar","Thu","Electric",6059
"189","2021","Mar","Fri","Classic",17262
"190","2021","Mar","Fri","Docked",1090
"191","2021","Mar","Fri","Electric",7305
"192","2021","Mar","Sat","Classic",29505
"193","2021","Mar","Sat","Docked",4633
"194","2021","Mar","Sat","Electric",11114
"195","2021","Apr","Sun","Classic",32125
"196","2021","Apr","Sun","Docked",5452
"197","2021","Apr","Sun","Electric",12776
"198","2021","Apr","Mon","Classic",28618
"199","2021","Apr","Mon","Docked",2811
"200","2021","Apr","Mon","Electric",12332
"201","2021","Apr","Tue","Classic",33932
"202","2021","Apr","Tue","Docked",3652
"203","2021","Apr","Tue","Electric",14642
"204","2021","Apr","Wed","Classic",24019
"205","2021","Apr","Wed","Docked",1923
"206","2021","Apr","Wed","Electric",11403
"207","2021","Apr","Thu","Classic",25183
"208","2021","Apr","Thu","Docked",1532
"209","2021","Apr","Thu","Electric",13721
"210","2021","Apr","Fri","Classic",36658
"211","2021","Apr","Fri","Docked",3676
"212","2021","Apr","Fri","Electric",18390
"213","2021","Apr","Sat","Classic",34084
"214","2021","Apr","Sat","Docked",5668
"215","2021","Apr","Sat","Electric",14633
"216","2021","May","Sun","Classic",60935
"217","2021","May","Sun","Docked",12215
"218","2021","May","Sun","Electric",31112
"219","2021","May","Mon","Classic",44394
"220","2021","May","Mon","Docked",6104
"221","2021","May","Mon","Electric",25503
"222","2021","May","Tue","Classic",30430
"223","2021","May","Tue","Docked",2453
"224","2021","May","Tue","Electric",19128
"225","2021","May","Wed","Classic",37155
"226","2021","May","Wed","Docked",2864
"227","2021","May","Wed","Electric",22577
"228","2021","May","Thu","Classic",33716
"229","2021","May","Thu","Docked",3054
"230","2021","May","Thu","Electric",21772
"231","2021","May","Fri","Classic",36694
"232","2021","May","Fri","Docked",4706
"233","2021","May","Fri","Electric",24819
"234","2021","May","Sat","Classic",65769
"235","2021","May","Sat","Docked",11957
"236","2021","May","Sat","Electric",34276
"237","2021","Jun","Sun","Classic",70048
"238","2021","Jun","Sun","Docked",10968
"239","2021","Jun","Sun","Electric",32741
"240","2021","Jun","Mon","Classic",46752
"241","2021","Jun","Mon","Docked",4637
"242","2021","Jun","Mon","Electric",27554
"243","2021","Jun","Tue","Classic",65005
"244","2021","Jun","Tue","Docked",6373
"245","2021","Jun","Tue","Electric",38242
"246","2021","Jun","Wed","Classic",68347
"247","2021","Jun","Wed","Docked",5904
"248","2021","Jun","Wed","Electric",39275
"249","2021","Jun","Thu","Classic",53162
"250","2021","Jun","Thu","Docked",5136
"251","2021","Jun","Thu","Electric",32498
"252","2021","Jun","Fri","Classic",58237
"253","2021","Jun","Fri","Docked",7459
"254","2021","Jun","Fri","Electric",34946
"255","2021","Jun","Sat","Classic",73469
"256","2021","Jun","Sat","Docked",11239
"257","2021","Jun","Sat","Electric",37603
"258","2021","Jul","Sun","Classic",68221
"259","2021","Jul","Sun","Docked",10470
"260","2021","Jul","Sun","Electric",30799
"261","2021","Jul","Mon","Classic",58193
"262","2021","Jul","Mon","Docked",7094
"263","2021","Jul","Mon","Electric",29532
"264","2021","Jul","Tue","Classic",59126
"265","2021","Jul","Tue","Docked",5197
"266","2021","Jul","Tue","Electric",33463
"267","2021","Jul","Wed","Classic",61432
"268","2021","Jul","Wed","Docked",5323
