"","Year","Month","DayOfWeek","Bike","Trips"
"666","2023","Feb","Wed","Classic",12332
"667","2023","Feb","Wed","Docked",157
"668","2023","Feb","Wed","Electric",13303
"669","2023","Feb","Thu","Classic",10152
"670","2023","Feb","Thu","Docked",113
"671","2023","Feb","Thu","Electric",11587
"672","2023","Feb","Fri","Classic",10298
"673","2023","Feb","Fri","Docked",165
"674","2023","Feb","Fri","Electric",11098
"675","2023","Feb","Sat","Classic",11146
"676","2023","Feb","Sat","Docked",428
"677","2023","Feb","Sat","Electric",12711
